metric,mean,ci_low,ci_high,model
accuracy,0.748344671201814,0.7062925170068027,0.7891156462585034,LR_all_features
f1,0.44954232627046453,0.35921468829077524,0.5216321332690851,LR_all_features
roc_auc,0.786991772689641,0.7238198222334258,0.8408298893515851,LR_all_features
Gender_dp_gap,0.07323919278922189,0.005955244607588352,0.15092023296292267,LR_all_features
Gender_eo_gap,0.10781170948767785,0.005615530303030317,0.29240227610094,LR_all_features
Gender_fpr_gap,0.08481115991164735,0.01169349446431155,0.16916326335054957,LR_all_features
Gender_equalized_odds_gap,0.13340028437419718,0.035613261995382756,0.29240227610094,LR_all_features
AgeGroup_dp_gap,0.17260267003253787,0.052184347250117634,0.2935450458148892,LR_all_features
AgeGroup_eo_gap,0.4149025867821219,0.14617149758454107,0.6775265251989386,LR_all_features
AgeGroup_fpr_gap,0.07784892675941282,0.012268363607787018,0.16685180486021797,LR_all_features
AgeGroup_equalized_odds_gap,0.41505605315244365,0.14617149758454107,0.6775265251989386,LR_all_features
