column,dtype,missing,unique_values,sample_values
Age,int64,0,43,"41, 49, 37, 33, 27"
Attrition,str,0,2,"Yes, No"
BusinessTravel,str,0,3,"Travel_Rarely, Travel_Frequently, Non-Travel"
DailyRate,int64,0,886,"1102, 279, 1373, 1392, 591"
Department,str,0,3,"Sales, Research & Development, Human Resources"
DistanceFromHome,int64,0,29,"1, 8, 2, 3, 24"
Education,int64,0,5,"2, 1, 4, 3, 5"
EducationField,str,0,6,"Life Sciences, Other, Medical, Marketing, Technical Degree"
EmployeeCount,int64,0,1,1
EmployeeNumber,int64,0,1470,"1, 2, 4, 5, 7"
EnvironmentSatisfaction,int64,0,4,"2, 3, 4, 1"
Gender,str,0,2,"Female, Male"
HourlyRate,int64,0,71,"94, 61, 92, 56, 40"
JobInvolvement,int64,0,4,"3, 2, 4, 1"
JobLevel,int64,0,5,"2, 1, 3, 4, 5"
JobRole,str,0,9,"Sales Executive, Research Scientist, Laboratory Technician, Manufacturing Director, Healthcare Representative"
JobSatisfaction,int64,0,4,"4, 2, 3, 1"
MaritalStatus,str,0,3,"Single, Married, Divorced"
MonthlyIncome,int64,0,1349,"5993, 5130, 2090, 2909, 3468"
MonthlyRate,int64,0,1427,"19479, 24907, 2396, 23159, 16632"
NumCompaniesWorked,int64,0,10,"8, 1, 6, 9, 0"
Over18,str,0,1,Y
OverTime,str,0,2,"Yes, No"
PercentSalaryHike,int64,0,15,"11, 23, 15, 12, 13"
PerformanceRating,int64,0,2,"3, 4"
RelationshipSatisfaction,int64,0,4,"1, 4, 2, 3"
StandardHours,int64,0,1,80
StockOptionLevel,int64,0,4,"0, 1, 3, 2"
TotalWorkingYears,int64,0,40,"8, 10, 7, 6, 12"
TrainingTimesLastYear,int64,0,7,"0, 3, 2, 5, 1"
WorkLifeBalance,int64,0,4,"1, 3, 2, 4"
YearsAtCompany,int64,0,37,"6, 10, 0, 8, 2"
YearsInCurrentRole,int64,0,19,"4, 7, 0, 2, 5"
YearsSinceLastPromotion,int64,0,16,"0, 1, 3, 2, 7"
YearsWithCurrManager,int64,0,18,"5, 7, 0, 2, 6"
Attrition_binary,int64,0,2,"1, 0"
AgeGroup,str,0,3,"40+, 30-40, <30"
