model,attribute,group,n,positive_prediction_rate,base_rate,tpr,fpr,tp,tn,fp,fn
Majority,Gender,Female,176,0.0,0.14772727272727273,0.0,0.0,0,150,0,26
Majority,Gender,Male,265,0.0,0.16981132075471697,0.0,0.0,0,220,0,45
Majority,AgeGroup,30-40,183,0.0,0.14754098360655737,0.0,0.0,0,156,0,27
Majority,AgeGroup,40+,173,0.0,0.09248554913294797,0.0,0.0,0,157,0,16
Majority,AgeGroup,<30,85,0.0,0.32941176470588235,0.0,0.0,0,57,0,28
LR_all_features,Gender,Female,176,0.3409090909090909,0.14772727272727273,0.6923076923076923,0.28,18,108,42,8
LR_all_features,Gender,Male,265,0.27169811320754716,0.16981132075471697,0.6222222222222222,0.2,28,176,44,17
LR_all_features,AgeGroup,30-40,183,0.2786885245901639,0.14754098360655737,0.6666666666666666,0.21153846153846154,18,123,33,9
LR_all_features,AgeGroup,40+,173,0.26011560693641617,0.09248554913294797,0.375,0.2484076433121019,6,118,39,10
LR_all_features,AgeGroup,<30,85,0.4235294117647059,0.32941176470588235,0.7857142857142857,0.24561403508771928,22,43,14,6
LR_without_protected,Gender,Female,176,0.3977272727272727,0.14772727272727273,0.7307692307692307,0.34,19,99,51,7
LR_without_protected,Gender,Male,265,0.25660377358490566,0.16981132075471697,0.6222222222222222,0.18181818181818182,28,180,40,17
LR_without_protected,AgeGroup,30-40,183,0.3114754098360656,0.14754098360655737,0.7407407407407407,0.23717948717948717,20,119,37,7
LR_without_protected,AgeGroup,40+,173,0.2947976878612717,0.09248554913294797,0.375,0.28662420382165604,6,112,45,10
LR_without_protected,AgeGroup,<30,85,0.35294117647058826,0.32941176470588235,0.75,0.15789473684210525,21,48,9,7
RandomForest,Gender,Female,176,0.11931818181818182,0.14772727272727273,0.46153846153846156,0.06,12,141,9,14
RandomForest,Gender,Male,265,0.13584905660377358,0.16981132075471697,0.4666666666666667,0.06818181818181818,21,205,15,24
RandomForest,AgeGroup,30-40,183,0.11475409836065574,0.14754098360655737,0.48148148148148145,0.05128205128205128,13,148,8,14
RandomForest,AgeGroup,40+,173,0.05202312138728324,0.09248554913294797,0.1875,0.03821656050955414,3,151,6,13
RandomForest,AgeGroup,<30,85,0.3176470588235294,0.32941176470588235,0.6071428571428571,0.17543859649122806,17,47,10,11
GradientBoosting,Gender,Female,176,0.03977272727272727,0.14772727272727273,0.19230769230769232,0.013333333333333334,5,148,2,21
GradientBoosting,Gender,Male,265,0.06037735849056604,0.16981132075471697,0.28888888888888886,0.013636363636363636,13,217,3,32
GradientBoosting,AgeGroup,30-40,183,0.03825136612021858,0.14754098360655737,0.25925925925925924,0.0,7,156,0,20
GradientBoosting,AgeGroup,40+,173,0.028901734104046242,0.09248554913294797,0.125,0.01910828025477707,2,154,3,14
GradientBoosting,AgeGroup,<30,85,0.12941176470588237,0.32941176470588235,0.32142857142857145,0.03508771929824561,9,55,2,19
LR_reweighting_gender,Gender,Female,176,0.36363636363636365,0.14772727272727273,0.6923076923076923,0.30666666666666664,18,104,46,8
LR_reweighting_gender,Gender,Male,265,0.2679245283018868,0.16981132075471697,0.6222222222222222,0.19545454545454546,28,177,43,17
LR_reweighting_gender,AgeGroup,30-40,183,0.28415300546448086,0.14754098360655737,0.6666666666666666,0.21794871794871795,18,122,34,9
LR_reweighting_gender,AgeGroup,40+,173,0.2774566473988439,0.09248554913294797,0.375,0.267515923566879,6,115,42,10
LR_reweighting_gender,AgeGroup,<30,85,0.4117647058823529,0.32941176470588235,0.7857142857142857,0.22807017543859648,22,44,13,6
LR_postprocessing_gender_thresholds,Gender,Female,176,0.30113636363636365,0.14772727272727273,0.6923076923076923,0.23333333333333334,18,115,35,8
LR_postprocessing_gender_thresholds,Gender,Male,265,0.29056603773584905,0.16981132075471697,0.6222222222222222,0.22272727272727272,28,171,49,17
LR_postprocessing_gender_thresholds,AgeGroup,30-40,183,0.2677595628415301,0.14754098360655737,0.6666666666666666,0.1987179487179487,18,125,31,9
LR_postprocessing_gender_thresholds,AgeGroup,40+,173,0.2543352601156069,0.09248554913294797,0.375,0.24203821656050956,6,119,38,10
LR_postprocessing_gender_thresholds,AgeGroup,<30,85,0.43529411764705883,0.32941176470588235,0.7857142857142857,0.2631578947368421,22,42,15,6
