model,attribute,group,n,positive_prediction_rate,base_rate,tpr,fpr,tp,tn,fp,fn
Majority,gender,f,4894,0.0,0.08990600735594606,0.0,0.0,0,4454,0,440
Majority,gender,m,11549,0.0,0.083124080006927,0.0,0.0,0,10589,0,960
Majority,AgeGroup,30-40,8414,0.0,0.09270263845971001,0.0,0.0,0,7634,0,780
Majority,AgeGroup,40+,3694,0.0,0.07119653492149432,0.0,0.0,0,3431,0,263
Majority,AgeGroup,<30,4335,0.0,0.08235294117647059,0.0,0.0,0,3978,0,357
LR_all_features,gender,f,4894,0.28259092766653043,0.08990600735594606,0.6454545454545455,0.24674449932644812,284,3355,1099,156
LR_all_features,gender,m,11549,0.2530089185210841,0.083124080006927,0.6625,0.21588440834828596,636,8303,2286,324
LR_all_features,AgeGroup,30-40,8414,0.29034941763727123,0.09270263845971001,0.6653846153846154,0.2520303903589206,519,5710,1924,261
LR_all_features,AgeGroup,40+,3694,0.18191662154845695,0.07119653492149432,0.6121673003802282,0.14893617021276595,161,2920,511,102
LR_all_features,AgeGroup,<30,4335,0.27450980392156865,0.08235294117647059,0.6722689075630253,0.23881347410759177,240,3028,950,117
LR_without_protected,gender,f,4894,0.2834082550061299,0.08990600735594606,0.6363636363636364,0.24854063762909745,280,3347,1107,160
LR_without_protected,gender,m,11549,0.25811758593817646,0.083124080006927,0.6635416666666667,0.22136179053735008,637,8245,2344,323
LR_without_protected,AgeGroup,30-40,8414,0.28155455193724743,0.09270263845971001,0.6615384615384615,0.24272989258580036,516,5781,1853,264
LR_without_protected,AgeGroup,40+,3694,0.2552788305360043,0.07119653492149432,0.6539923954372624,0.22471582628971146,172,2660,771,91
LR_without_protected,AgeGroup,<30,4335,0.24359861591695503,0.08235294117647059,0.6414565826330533,0.20789341377576673,229,3151,827,128
RandomForest,gender,f,4894,0.20208418471597875,0.08990600735594606,0.55,0.16771441400987877,242,3707,747,198
RandomForest,gender,m,11549,0.18624989176552081,0.083124080006927,0.5552083333333333,0.15280007555009917,533,8971,1618,427
RandomForest,AgeGroup,30-40,8414,0.2240313762776325,0.09270263845971001,0.5794871794871795,0.1877128635053707,452,6201,1433,328
RandomForest,AgeGroup,40+,3694,0.13427179209528967,0.07119653492149432,0.4714828897338403,0.10842320023316818,124,3059,372,139
RandomForest,AgeGroup,<30,4335,0.1750865051903114,0.08235294117647059,0.5574229691876751,0.14077425842131724,199,3418,560,158
GradientBoosting,gender,f,4894,0.024724152022885165,0.08990600735594606,0.26590909090909093,0.000898069151324652,117,4450,4,323
GradientBoosting,gender,m,11549,0.02580309983548359,0.083124080006927,0.3,0.0009443762394938143,288,10579,10,672
GradientBoosting,AgeGroup,30-40,8414,0.027097694318992158,0.09270263845971001,0.2833333333333333,0.0009169504846738276,221,7627,7,559
GradientBoosting,AgeGroup,40+,3694,0.023822414726583648,0.07119653492149432,0.3231939163498099,0.0008743806470416788,85,3428,3,178
GradientBoosting,AgeGroup,<30,4335,0.023760092272203,0.08235294117647059,0.2773109243697479,0.001005530417295123,99,3974,4,258
LR_reweighting_gender,gender,f,4894,0.263383735185942,0.08990600735594606,0.6272727272727273,0.2274360125729681,276,3441,1013,164
LR_reweighting_gender,gender,m,11549,0.26192743960516063,0.083124080006927,0.6739583333333333,0.22457266975162904,647,8211,2378,313
LR_reweighting_gender,AgeGroup,30-40,8414,0.29058711671024484,0.09270263845971001,0.6653846153846154,0.25229237621168454,519,5708,1926,261
LR_reweighting_gender,AgeGroup,40+,3694,0.18137520303194368,0.07119653492149432,0.6159695817490495,0.14806178956572427,162,2923,508,101
LR_reweighting_gender,AgeGroup,<30,4335,0.2765859284890427,0.08235294117647059,0.6778711484593838,0.24057315233785823,242,3021,957,115
