model,attribute,group,n,positive_prediction_rate,base_rate,tpr,fpr,tp,tn,fp,fn
Majority,Gender,Female,176,0.0,0.1477,0.0,0.0,0,150,0,26
Majority,Gender,Male,265,0.0,0.1698,0.0,0.0,0,220,0,45
Majority,AgeGroup,30-40,183,0.0,0.1475,0.0,0.0,0,156,0,27
Majority,AgeGroup,40+,173,0.0,0.0925,0.0,0.0,0,157,0,16
Majority,AgeGroup,<30,85,0.0,0.3294,0.0,0.0,0,57,0,28
LR_all_features,Gender,Female,176,0.3409,0.1477,0.6923,0.28,18,108,42,8
LR_all_features,Gender,Male,265,0.2717,0.1698,0.6222,0.2,28,176,44,17
LR_all_features,AgeGroup,30-40,183,0.2787,0.1475,0.6667,0.2115,18,123,33,9
LR_all_features,AgeGroup,40+,173,0.2601,0.0925,0.375,0.2484,6,118,39,10
LR_all_features,AgeGroup,<30,85,0.4235,0.3294,0.7857,0.2456,22,43,14,6
LR_without_protected,Gender,Female,176,0.3977,0.1477,0.7308,0.34,19,99,51,7
LR_without_protected,Gender,Male,265,0.2566,0.1698,0.6222,0.1818,28,180,40,17
LR_without_protected,AgeGroup,30-40,183,0.3115,0.1475,0.7407,0.2372,20,119,37,7
LR_without_protected,AgeGroup,40+,173,0.2948,0.0925,0.375,0.2866,6,112,45,10
LR_without_protected,AgeGroup,<30,85,0.3529,0.3294,0.75,0.1579,21,48,9,7
RandomForest,Gender,Female,176,0.1193,0.1477,0.4615,0.06,12,141,9,14
RandomForest,Gender,Male,265,0.1358,0.1698,0.4667,0.0682,21,205,15,24
RandomForest,AgeGroup,30-40,183,0.1148,0.1475,0.4815,0.0513,13,148,8,14
RandomForest,AgeGroup,40+,173,0.052,0.0925,0.1875,0.0382,3,151,6,13
RandomForest,AgeGroup,<30,85,0.3176,0.3294,0.6071,0.1754,17,47,10,11
GradientBoosting,Gender,Female,176,0.0398,0.1477,0.1923,0.0133,5,148,2,21
GradientBoosting,Gender,Male,265,0.0604,0.1698,0.2889,0.0136,13,217,3,32
GradientBoosting,AgeGroup,30-40,183,0.0383,0.1475,0.2593,0.0,7,156,0,20
GradientBoosting,AgeGroup,40+,173,0.0289,0.0925,0.125,0.0191,2,154,3,14
GradientBoosting,AgeGroup,<30,85,0.1294,0.3294,0.3214,0.0351,9,55,2,19
LR_reweighting_gender,Gender,Female,176,0.3636,0.1477,0.6923,0.3067,18,104,46,8
LR_reweighting_gender,Gender,Male,265,0.2679,0.1698,0.6222,0.1955,28,177,43,17
LR_reweighting_gender,AgeGroup,30-40,183,0.2842,0.1475,0.6667,0.2179,18,122,34,9
LR_reweighting_gender,AgeGroup,40+,173,0.2775,0.0925,0.375,0.2675,6,115,42,10
LR_reweighting_gender,AgeGroup,<30,85,0.4118,0.3294,0.7857,0.2281,22,44,13,6
LR_postprocessing_gender_thresholds,Gender,Female,176,0.3011,0.1477,0.6923,0.2333,18,115,35,8
LR_postprocessing_gender_thresholds,Gender,Male,265,0.2906,0.1698,0.6222,0.2227,28,171,49,17
LR_postprocessing_gender_thresholds,AgeGroup,30-40,183,0.2678,0.1475,0.6667,0.1987,18,125,31,9
LR_postprocessing_gender_thresholds,AgeGroup,40+,173,0.2543,0.0925,0.375,0.242,6,119,38,10
LR_postprocessing_gender_thresholds,AgeGroup,<30,85,0.4353,0.3294,0.7857,0.2632,22,42,15,6
