model,attribute,group,n,positive_prediction_rate,base_rate,tpr,fpr,tp,tn,fp,fn
Majority,gender,f,4894,0.0,0.0899,0.0,0.0,0,4454,0,440
Majority,gender,m,11549,0.0,0.0831,0.0,0.0,0,10589,0,960
Majority,AgeGroup,30-40,8414,0.0,0.0927,0.0,0.0,0,7634,0,780
Majority,AgeGroup,40+,3694,0.0,0.0712,0.0,0.0,0,3431,0,263
Majority,AgeGroup,<30,4335,0.0,0.0824,0.0,0.0,0,3978,0,357
LR_all_features,gender,f,4894,0.2826,0.0899,0.6455,0.2467,284,3355,1099,156
LR_all_features,gender,m,11549,0.253,0.0831,0.6625,0.2159,636,8303,2286,324
LR_all_features,AgeGroup,30-40,8414,0.2903,0.0927,0.6654,0.252,519,5710,1924,261
LR_all_features,AgeGroup,40+,3694,0.1819,0.0712,0.6122,0.1489,161,2920,511,102
LR_all_features,AgeGroup,<30,4335,0.2745,0.0824,0.6723,0.2388,240,3028,950,117
LR_without_protected,gender,f,4894,0.2834,0.0899,0.6364,0.2485,280,3347,1107,160
LR_without_protected,gender,m,11549,0.2581,0.0831,0.6635,0.2214,637,8245,2344,323
LR_without_protected,AgeGroup,30-40,8414,0.2816,0.0927,0.6615,0.2427,516,5781,1853,264
LR_without_protected,AgeGroup,40+,3694,0.2553,0.0712,0.654,0.2247,172,2660,771,91
LR_without_protected,AgeGroup,<30,4335,0.2436,0.0824,0.6415,0.2079,229,3151,827,128
RandomForest,gender,f,4894,0.2021,0.0899,0.55,0.1677,242,3707,747,198
RandomForest,gender,m,11549,0.1862,0.0831,0.5552,0.1528,533,8971,1618,427
RandomForest,AgeGroup,30-40,8414,0.224,0.0927,0.5795,0.1877,452,6201,1433,328
RandomForest,AgeGroup,40+,3694,0.1343,0.0712,0.4715,0.1084,124,3059,372,139
RandomForest,AgeGroup,<30,4335,0.1751,0.0824,0.5574,0.1408,199,3418,560,158
GradientBoosting,gender,f,4894,0.0247,0.0899,0.2659,0.0009,117,4450,4,323
GradientBoosting,gender,m,11549,0.0258,0.0831,0.3,0.0009,288,10579,10,672
GradientBoosting,AgeGroup,30-40,8414,0.0271,0.0927,0.2833,0.0009,221,7627,7,559
GradientBoosting,AgeGroup,40+,3694,0.0238,0.0712,0.3232,0.0009,85,3428,3,178
GradientBoosting,AgeGroup,<30,4335,0.0238,0.0824,0.2773,0.001,99,3974,4,258
LR_reweighting_gender,gender,f,4894,0.2634,0.0899,0.6273,0.2274,276,3441,1013,164
LR_reweighting_gender,gender,m,11549,0.2619,0.0831,0.674,0.2246,647,8211,2378,313
LR_reweighting_gender,AgeGroup,30-40,8414,0.2906,0.0927,0.6654,0.2523,519,5708,1926,261
LR_reweighting_gender,AgeGroup,40+,3694,0.1814,0.0712,0.616,0.1481,162,2923,508,101
LR_reweighting_gender,AgeGroup,<30,4335,0.2766,0.0824,0.6779,0.2406,242,3021,957,115
